fcwh,fcz0,ffw,fgi,fuel_name,fueldens,fueldepthm,fuelmce,ichap,k_tc,savr,se,st,weight,windrf,fuel_load_1h,fuel_load_10h,fuel_load_100h,fuel_load_live
6.096,0.0396,0.9,0.166,1: Short grass (1 ft),32.0,0.305,0.12,0,0.04025,3500.0,0.01,0.0555,7.0,0.36,0.74,0.00,0.00,0.00
6.096,0.0396,0.9,0.897,2: Timber (grass and understory),32.0,0.305,0.15,0,0.01621,2784.0,0.01,0.0555,7.0,0.36,2.00,1.00,0.50,0.50
6.096,0.1,0.9,0.675,3: Tall grass (2.5 ft),32.0,0.762,0.25,0,0.03752,1500.0,0.01,0.0555,7.0,0.44,3.01,0.00,0.00,0.00
6.096,0.2378,0.9,2.468,4: Chaparral (6 ft),32.0,1.829,0.2,1,0.03,1739.0,0.01,0.0555,180.0,0.55,5.01,4.01,2.00,5.01
6.096,0.0793,0.9,0.785,5: Brush (2 ft),32.0,0.61,0.2,0,0.01812,1683.0,0.01,0.0555,100.0,0.42,1.00,0.50,0.00,2.00
6.096,0.0991,0.9,1.345,6: Dormant brush - hardwood slash,32.0,0.762,0.25,0,0.03621,1564.0,0.01,0.0555,100.0,0.44,1.50,2.50,2.00,0.00
6.096,0.0991,0.9,1.092,7: Southern rough,32.0,0.762,0.4,0,0.03778,1562.0,0.01,0.0555,100.0,0.44,1.13,1.87,1.50,0.37
6.096,0.0079,0.9,1.121,8: Closed timber litter,32.0,0.061,0.3,0,0.000877,1889.0,0.01,0.0555,900.0,0.36,1.50,1.00,2.50,0.00
6.096,0.0079,0.9,0.78,9: Hardwood litter,32.0,0.061,0.25,0,0.001781,2484.0,0.01,0.0555,900.0,0.36,2.92,0.41,0.15,0.00
6.096,0.0396,0.9,2.694,10: Timber (litter + understory),32.0,0.305,0.25,0,0.008216,1764.0,0.01,0.0555,900.0,0.36,3.01,2.00,5.01,2.00
6.096,0.0396,0.9,2.582,11: Light logging slash,32.0,0.305,0.15,0,0.007405,1182.0,0.01,0.0555,900.0,0.36,1.50,4.51,5.51,0.00
6.096,0.0911,0.9,7.749,12: Medium logging slash,32.0,0.701,0.2,0,0.01772,1145.0,0.01,0.0555,900.0,0.43,4.01,14.03,16.53,0.00
6.096,0.1188,0.9,13.024,13: Heavy logging slash,32.0,0.914,0.25,0,0.02169,1159.0,0.01,0.0555,900.0,0.46,7.01,23.04,28.05,0.00
